瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),1矫埃 弥促 碍荐樊 矫阿(hhmi),乞闭 浅加(m/s),乞闭 惑措嚼档(%),乞闭 泅瘤扁拘(hPa)
239,技辆,2019-05-31,,13.7,24.1,,,,
239,技辆,2019-06-01,17.4,10.8,23.5,,.9,69.9,999.9
239,技辆,2019-06-02,21,13.5,28,,1.1,53.5,997.1
239,技辆,2019-06-03,22.2,13.9,29.5,,.9,47,997.6
239,技辆,2019-06-04,23.1,16.3,30.9,,1.2,53.9,998.6
239,技辆,2019-06-05,22.7,16.6,30.2,,1.2,67.3,1001.2
239,技辆,2019-06-06,20.5,16.2,27.3,2131,1.1,78.8,998.9
239,技辆,2019-06-07,18.4,16.1,21.3,512,1.7,88.6,991.9
239,技辆,2019-06-08,20.8,15.5,27,,.8,72.9,997.5
239,技辆,2019-06-09,21.4,17.6,27.3,2200,1,72.3,994.8
239,技辆,2019-06-10,18.3,14.8,22.8,1,1.9,70.9,996.4
239,技辆,2019-06-11,20,16.4,25.5,,1.2,64.3,998.1
239,技辆,2019-06-12,20.4,14.2,27.2,,1.2,66.4,999.9
239,技辆,2019-06-13,22.5,15.3,29.9,,1.1,58.9,999.2
239,技辆,2019-06-14,21.1,17.7,25,,1,68.4,994.9
239,技辆,2019-06-15,20.9,15.6,26.6,,1.6,66,990.1
239,技辆,2019-06-16,20.6,14.9,27.2,,1,68.9,996.5
239,技辆,2019-06-17,21.2,16.9,26.6,,1.1,64,1001.5
239,技辆,2019-06-18,20.7,16.5,25.9,,.8,73.8,1000.3
239,技辆,2019-06-19,21.8,18.3,26.3,,.8,74.1,997.2
239,技辆,2019-06-20,22.6,17.8,28.2,,1.2,70,996.6
239,技辆,2019-06-21,22.8,19.5,28,,1.6,65.8,995.4
239,技辆,2019-06-22,23.1,18.8,29.6,,1.1,67.6,995.5
239,技辆,2019-06-23,23.7,17.9,29,,1.5,54.3,997.6
239,技辆,2019-06-24,23.5,17.8,30.1,,.9,58.4,1001.8
239,技辆,2019-06-25,24.9,17,32.2,,1,55.1,1003.7
239,技辆,2019-06-26,21.3,19.1,24,1311,1.3,76.3,998.1
239,技辆,2019-06-27,24.3,20.5,29.5,,.6,79.6,990.4
239,技辆,2019-06-28,24.3,21.3,29.2,,.9,73.5,991.5
239,技辆,2019-06-29,21.6,20.3,23.9,1345,1.1,92.1,987.8
239,技辆,2019-06-30,23.2,20.1,27.7,,.8,82.9,991
239,技辆,2019-07-01,23.2,19.4,26.8,,.8,75.3,995.4
239,技辆,2019-07-02,22.9,16.1,29.3,,.9,71.3,998.7
239,技辆,2019-07-03,23,18.3,28.3,,.9,77.4,997.7
239,技辆,2019-07-04,24.7,17.8,31.5,,1,64.9,996.2
239,技辆,2019-07-05,26.7,18.8,34.4,,1.2,54.9,992.7
239,技辆,2019-07-06,26.9,19.6,32.5,,2.2,50.5,993.9
239,技辆,2019-07-07,25.3,21.5,30,,2.8,53.4,996.8
239,技辆,2019-07-08,24.4,20,29.2,,2.1,56,996.8
239,技辆,2019-07-09,24.1,19.7,29.3,,2.5,56.8,996
239,技辆,2019-07-10,21.3,19.3,23.6,2219,2.3,78.5,995.8
239,技辆,2019-07-11,21.1,19.2,22.9,221,1.2,92.6,994.3
239,技辆,2019-07-12,23,19.3,27.5,,1,76.1,996.2
239,技辆,2019-07-13,23.3,19.7,28.3,,.8,79.9,991.8
239,技辆,2019-07-14,24.5,19.6,30,,.9,77.4,992.2
239,技辆,2019-07-15,23.4,19.4,27.9,2139,.9,85.8,996.8
239,技辆,2019-07-16,24.1,19.9,30.3,,1,81.1,1000.4
239,技辆,2019-07-17,25.4,21.4,29.5,,1,80.4,1000.7
239,技辆,2019-07-18,25,22.5,29,359,1,82.3,998.6
239,技辆,2019-07-19,26.5,23.3,29.2,,2,77.9,995.9
239,技辆,2019-07-20,25.4,23.4,28.4,1504,2.9,88,988.8
239,技辆,2019-07-21,24.7,21.8,28.4,202,1.3,91.4,992.5
239,技辆,2019-07-22,27.7,25,32.1,,1,78.4,996.1
239,技辆,2019-07-23,27.9,25.2,32.8,,.7,79.3,995
239,技辆,2019-07-24,26.7,24.9,29.7,2301,.7,83.3,994.3
239,技辆,2019-07-25,25.6,25,26.6,1545,.6,97.5,994.7
239,技辆,2019-07-26,26.4,25.5,28.5,1543,.9,92.8,993.9
239,技辆,2019-07-27,27.2,24.9,30.6,2020,.8,89.8,995.7
239,技辆,2019-07-28,26.3,24.8,28.4,1059,1,92.8,998.5
239,技辆,2019-07-29,28,24,32,,1.1,75.8,999.3
239,技辆,2019-07-30,28.5,25.9,32.7,,1.9,76,997.6
239,技辆,2019-07-31,28.4,26.4,32.5,,1.7,76,999.4
239,技辆,2019-08-01,28.4,25.2,33.2,,.9,79.1,1001.5
239,技辆,2019-08-02,28.9,24.4,34.2,,1.1,73.8,1001.3
239,技辆,2019-08-03,27.6,24.9,34.9,1552,1.1,84.9,1000.5
239,技辆,2019-08-04,28.8,24.3,34.7,,.9,78.4,1000.2
239,技辆,2019-08-05,29.6,24.7,35.5,,.8,77.1,999.1
239,技辆,2019-08-06,29.4,26.3,32.9,,1.5,64.3,996.2
239,技辆,2019-08-07,27.8,23.3,32.6,200,1.1,82.5,995.4
239,技辆,2019-08-08,26.6,24.4,32.3,1609,1,89.5,998.3
239,技辆,2019-08-09,28.5,24.4,34,,.9,82.8,997.2
239,技辆,2019-08-10,29.5,25.1,33.9,,2.1,70.4,995.3
239,技辆,2019-08-11,29.6,25.5,33.6,2105,3.7,61.8,991.4
239,技辆,2019-08-12,27.2,24.5,32.3,1525,1.1,90.1,990.4
239,技辆,2019-08-13,28.5,24.5,34.2,1738,.8,83.8,992.1
239,技辆,2019-08-14,29.5,24.8,33.8,,2,70.6,989.3
239,技辆,2019-08-15,25.1,23.8,29.2,1502,1.8,91.5,982.7
239,技辆,2019-08-16,26.2,23.5,30.3,,1.2,81.4,986
239,技辆,2019-08-17,25.2,21.7,29.8,1612,1.5,83.4,991.9
239,技辆,2019-08-18,23.9,19,30,,1,76.6,996.7
239,技辆,2019-08-19,25.4,20,31.1,,.9,74.3,999
239,技辆,2019-08-20,26.8,22.3,30.9,,1.7,70.8,999.3
239,技辆,2019-08-21,26.8,22.7,31.9,,1.3,72.1,998.1
239,技辆,2019-08-22,25.6,22.6,29.6,316,1.1,81.5,996.2
239,技辆,2019-08-23,24.1,20.4,29.7,,1,74.3,998.6
239,技辆,2019-08-24,22.4,18.8,27.3,,.6,82.9,1000.8
239,技辆,2019-08-25,23.3,18.2,29.8,,.8,75.9,1002.6
239,技辆,2019-08-26,24.8,18.5,31.5,,.9,73.8,1001.5
239,技辆,2019-08-27,22,19.3,25.3,342,1.3,90.8,997.4
239,技辆,2019-08-28,23.5,20.6,28.4,305,.7,86.6,996.8
239,技辆,2019-08-29,21.8,19.6,27.6,1421,.9,92.4,996.5
239,技辆,2019-08-30,21.9,17.8,27.5,,1.1,77.9,999.1
239,技辆,2019-08-31,22.1,17.4,27.6,,.9,79,1003.6
239,技辆,2019-09-01,22.1,17.8,27.4,,.6,83.4,1006.3
239,技辆,2019-09-02,22.3,19,27,2145,1.1,82.4,1006.3
239,技辆,2019-09-03,22,20,23.7,101,1.3,92.6,1004.6
239,技辆,2019-09-04,23.2,21.3,28.2,1631,.9,92.6,1002.4
239,技辆,2019-09-05,23.4,21.1,27.6,1609,.8,95,1001.4
239,技辆,2019-09-06,25.3,22,27.8,2147,1.3,87,998.1
239,技辆,2019-09-07,25.8,22.4,30.5,1905,4.3,79.3,988.7
239,技辆,2019-09-08,24.3,22,28.3,701,.8,88.9,998.1
239,技辆,2019-09-09,23.5,22.3,24.8,530,.9,95.6,1000
239,技辆,2019-09-10,26.6,23.2,30.5,,1.1,76.6,1001.2
239,技辆,2019-09-11,24.3,23.1,26.7,415,1.8,85.8,1003.8
239,技辆,2019-09-12,20.6,19.3,23.8,617,2.3,81.6,1006.1
239,技辆,2019-09-13,22.5,18.2,27.1,,1.6,70.5,1003.1
239,技辆,2019-09-14,22.4,18.6,27.7,,.8,84.1,1001.3
239,技辆,2019-09-15,24.6,21.1,30.1,,1,75.3,999.8
239,技辆,2019-09-16,24,20.4,29,,1.1,70.6,1000
239,技辆,2019-09-17,22.2,16.3,27.8,,1.2,64,1004
239,技辆,2019-09-18,20.7,14.5,27.9,,1.6,58.1,1005.8
239,技辆,2019-09-19,19.6,12,26.5,,1,64.8,1007.3
239,技辆,2019-09-20,19.7,16.2,23.2,,1.8,67.3,1006.6
239,技辆,2019-09-21,17.4,15.3,19.9,1510,2,84.4,1007.8
239,技辆,2019-09-22,16.2,14.9,17.6,1141,2.2,92.4,1000.7
239,技辆,2019-09-23,17.8,13.7,22.2,,1.7,71.4,1003.8
239,技辆,2019-09-24,17.6,12.4,24.9,,.7,79.5,1008.4
239,技辆,2019-09-25,17.8,12.2,24.3,,.6,83.3,1011.4
239,技辆,2019-09-26,20.5,16.5,24.6,,1.1,78,1013
239,技辆,2019-09-27,22.1,16.7,28.7,,.7,72.9,1011.2
239,技辆,2019-09-28,23.5,19.4,29.3,,.9,75,1007.4
239,技辆,2019-09-29,21.9,17.3,28.6,,.7,69.6,1006.1
239,技辆,2019-09-30,21.2,14.7,29.4,,.6,74.4,1006.3
239,技辆,2019-10-01,21.4,17.4,25.5,,.5,85.9,1007.5
239,技辆,2019-10-02,20.7,19.9,21.6,2249,1.6,95.3,999.8
239,技辆,2019-10-03,22.2,19.2,27.1,1,2.5,81.4,995.3
239,技辆,2019-10-04,21.7,19.2,27.4,,.7,84.3,1002.4
239,技辆,2019-10-05,18.6,15.9,21.6,,.9,81.1,1005.8
239,技辆,2019-10-06,17.7,14.4,21.7,,2.2,66,1011.7
239,技辆,2019-10-07,14.9,13.9,16.9,1415,1.1,92.9,1007.5
239,技辆,2019-10-08,14.8,9.3,22.1,,1.5,72.6,1007.9
239,技辆,2019-10-09,12.7,5.9,20.5,,.7,70.1,1009.1
239,技辆,2019-10-10,13.9,9.5,18.6,,.6,76.9,1005.8
239,技辆,2019-10-11,17.1,11,24,,.7,68.6,1004.1
239,技辆,2019-10-12,18.1,13.8,23.8,,1.7,57.3,1005.8
239,技辆,2019-10-13,15.9,10.2,21.7,,1.2,66.4,1011.4
239,技辆,2019-10-14,13.5,8.8,20.2,,1.3,74.8,1014.3
239,技辆,2019-10-15,13.1,7.3,19.1,,1,73,1017
239,技辆,2019-10-16,14,8.7,20.8,,.6,73.3,1015.3
239,技辆,2019-10-17,14.6,10.5,20.4,,1.1,73,1013.3
239,技辆,2019-10-18,15.7,10.9,21.1,,1.3,73.6,1010.7
239,技辆,2019-10-19,16.2,11.6,23,,.8,73.4,1009.8
239,技辆,2019-10-20,14.7,10.6,21.8,,.5,78.1,1010.9
239,技辆,2019-10-21,14.7,8.8,23.1,,.5,77.5,1007.8
239,技辆,2019-10-22,16.1,10.3,22.8,,.7,72.4,1006.8
239,技辆,2019-10-23,16,12.4,19,,.9,72.3,1007.9
239,技辆,2019-10-24,17.9,13.5,22.9,,1,57.1,1007.7
239,技辆,2019-10-25,17,11.7,22.3,,.9,64,1006.9
239,技辆,2019-10-26,11.5,6.9,16.3,,1.5,64.6,1008
239,技辆,2019-10-27,10,3.4,17,,1,68.5,1008.8
239,技辆,2019-10-28,11.7,4.1,17.8,,1.1,69,1005.7
239,技辆,2019-10-29,12.6,8.6,18.1,201,1.4,73.6,1005.5
239,技辆,2019-10-30,10.5,4.9,17.6,,.8,74.8,1011
239,技辆,2019-10-31,12.6,5,19.8,,.7,79.8,1010.7
239,技辆,2019-11-01,14.3,9.2,21.3,,.7,71.3,1010.9
239,技辆,2019-11-02,12.7,6.7,19,,.3,77.3,1009.5
239,技辆,2019-11-03,13.6,8.6,19.8,,.5,74,1008.8
239,技辆,2019-11-04,13.1,8.5,19.7,,.4,68.3,1010.7
239,技辆,2019-11-05,11.5,5.8,19.5,,.7,75.5,1008.7
239,技辆,2019-11-06,10.4,3.9,17.8,,.7,73.5,1006.4
239,技辆,2019-11-07,9.8,3.8,16.8,,1.1,65.4,1007
239,技辆,2019-11-08,6.4,-.7,14.3,,.8,57.6,1010.6
239,技辆,2019-11-09,7.6,.3,16.6,,.5,58.1,1010.7
239,技辆,2019-11-10,8.4,2.7,15.1,,.7,74.8,1001.5
239,技辆,2019-11-11,11.2,8.2,15.9,,1.5,79.4,1001
239,技辆,2019-11-12,9.1,2.7,15.4,,.6,78.5,1010.2
239,技辆,2019-11-13,7.7,4.4,12.5,,1.4,83,1007.3
239,技辆,2019-11-14,2.2,-1.3,6.6,,2.5,41.3,1013.4
239,技辆,2019-11-15,9.2,-2.2,16.8,,1.8,61.9,1007.9
239,技辆,2019-11-16,11.3,7.4,17.3,,1,84,1009
239,技辆,2019-11-17,9.4,5.6,14,,1,95.6,1006.6
239,技辆,2019-11-18,6.9,1.8,14,,2.3,72.4,1008.5
239,技辆,2019-11-19,1.8,-1,5.1,,1.7,70.9,1014.9
239,技辆,2019-11-20,1.7,-2.6,8,,1,56.3,1020.2
239,技辆,2019-11-21,4.5,-3.1,10.5,,.7,53.9,1020.7
239,技辆,2019-11-22,9.7,2.9,16.7,,.7,54.5,1016.2
239,技辆,2019-11-23,11.3,5,17.8,,.6,71.4,1012.8
239,技辆,2019-11-24,12.1,7.3,20.9,,1.5,77.6,1009.4
239,技辆,2019-11-25,2.9,1.1,7.9,,1.9,66.4,1018.1
239,技辆,2019-11-26,7.4,.3,14.1,,.8,70.4,1017.7
239,技辆,2019-11-27,5.1,.9,8.1,,2.1,51.8,1016.7
239,技辆,2019-11-28,3.9,-1.4,11.2,,.8,65.4,1018.2
239,技辆,2019-11-29,2.2,-2.4,8.9,,.8,58.6,1020.2
239,技辆,2019-11-30,4.6,-2.5,11.8,,.7,53.1,1017.5
239,技辆,2019-12-01,5.8,4.3,7.6,,.4,79.5,1010.8
239,技辆,2019-12-02,2.5,-1.1,6.3,,2.2,61.9,1011.3
239,技辆,2019-12-03,.9,-3.2,6.4,,1,81,1014.7
239,技辆,2019-12-04,4.7,.3,9.7,,1.3,65.1,1017.8
239,技辆,2019-12-05,-1.1,-5.8,3.5,,2.8,45.6,1024.3
239,技辆,2019-12-06,-4.6,-9.4,1.3,,1.5,44.3,1024.3
239,技辆,2019-12-07,-1,-7.7,5.7,,.6,66.5,1018.7
239,技辆,2019-12-08,.6,-4.5,6.4,,.7,73.1,1017.5
239,技辆,2019-12-09,3.1,-3.8,9.9,,.6,70.6,1012.8
239,技辆,2019-12-10,8.1,2.6,13.6,,.9,72.9,1008.6
239,技辆,2019-12-11,7.2,2.5,11.9,,2.1,65.9,1007.3
239,技辆,2019-12-12,1.2,-2.4,5.3,,1.7,50.5,1017.4
239,技辆,2019-12-13,.4,-5.2,6.2,,.6,54.9,1016.2
239,技辆,2019-12-14,3.1,.2,8.4,,1.3,58.3,1016.7
239,技辆,2019-12-15,4.9,-2.2,12,,.6,63.4,1017.6
239,技辆,2019-12-16,7.7,1.6,14.8,,.5,67.8,1011.8
239,技辆,2019-12-17,6.9,5.2,10.3,,.9,86.8,1005.3
239,技辆,2019-12-18,2.4,-.5,6,,1.3,66.6,1012.7
239,技辆,2019-12-19,.3,-3.7,5.2,,1.4,52.9,1014.9
239,技辆,2019-12-20,-.3,-3.1,5.1,,1.2,66.9,1018.2
239,技辆,2019-12-21,-.5,-5.4,4.6,,.8,71.4,1016.7
239,技辆,2019-12-22,2.8,-1.3,8.9,,.6,70.5,1009.8
239,技辆,2019-12-23,3.3,0,7.4,,1.4,74.1,1011.2
239,技辆,2019-12-24,0,-2.7,5.3,,.5,78.5,1015.9
239,技辆,2019-12-25,1.1,-4.3,6.1,,.7,72.1,1012.3
239,技辆,2019-12-26,2.1,.4,3.2,,1.3,70.8,1006.5
239,技辆,2019-12-27,-.1,-3.1,4.2,,1.4,56.9,1013.7
239,技辆,2019-12-28,.3,-5.3,7.2,,.5,62,1017.5
239,技辆,2019-12-29,1.5,-2.1,4.1,,.7,76.4,1014.7
239,技辆,2019-12-30,3.7,-1.1,9.3,,1.6,82.1,1012.6
239,技辆,2019-12-31,-5.6,-8.3,-1.1,,2.5,51.5,1022.9
239,技辆,2020-01-01,-1.6,-8.6,4,,.8,65,1020.8
239,技辆,2020-01-02,.7,-3.1,4.4,,.6,74.3,1018.4
239,技辆,2020-01-03,1.3,-1.9,6.5,,1,71.1,1015.9
239,技辆,2020-01-04,.2,-4.6,7.4,,.8,69.1,1015.1
239,技辆,2020-01-05,.6,-5.4,6.5,,.6,58.4,1019.1
239,技辆,2020-01-06,2.4,-.6,4.7,,1.1,83.6,1014.4
239,技辆,2020-01-07,8.2,4.6,14.3,,1.3,95.6,998.9
239,技辆,2020-01-08,3.9,2.1,10.8,,2.3,85.8,1004.3
239,技辆,2020-01-09,.9,-2.3,4.9,,1.3,66.8,1012.8
239,技辆,2020-01-10,-.3,-4.3,5.7,,.6,72.8,1012.4
239,技辆,2020-01-11,.5,-4,6.1,,1,70.9,1009
239,技辆,2020-01-12,1,-1.5,5.5,,1.3,60.3,1007.3
239,技辆,2020-01-13,-.4,-3.3,3.2,,1.5,55.6,1011.9
239,技辆,2020-01-14,-.5,-3.9,4,,1.2,57.8,1014.4
239,技辆,2020-01-15,-1.6,-5.6,2.9,,1.1,64.4,1017
239,技辆,2020-01-16,-1.2,-5.7,4.6,,1,54.1,1015.6
239,技辆,2020-01-17,-.5,-4,4.7,,.9,54.3,1011.9
239,技辆,2020-01-18,.2,-5.5,7.1,,.8,54,1010.5
239,技辆,2020-01-19,1.5,-3.6,7.8,,1.2,62.4,1008.4
239,技辆,2020-01-20,2.2,-1.2,7.2,,1.8,57.9,1012
239,技辆,2020-01-21,-.3,-5.6,5.3,,.9,41.9,1018.3
239,技辆,2020-01-22,1.5,-.9,3.3,,.7,58.4,1013.9
239,技辆,2020-01-23,5.8,2.8,11.8,,1.2,50.4,1012.5
239,技辆,2020-01-24,4,-.5,9.8,,.8,62.6,1018.5
239,技辆,2020-01-25,4.6,.1,10.2,,.5,71.6,1017.7
239,技辆,2020-01-26,6.1,.7,11,,1.7,65.9,1015
239,技辆,2020-01-27,5.5,2.9,7.9,,2.6,67.6,1008
239,技辆,2020-01-28,6.4,2.8,10.4,,.9,68.5,1006.3
239,技辆,2020-01-29,6.5,4.4,10.1,,1.4,54.6,1004.2
239,技辆,2020-01-30,5.6,2.5,10.4,,.9,54.4,1003.6
239,技辆,2020-01-31,3.3,-.4,8.8,,1.1,67,1008.9
239,技辆,2020-02-01,1.5,-4.3,7.2,,.9,75.6,1013.6
239,技辆,2020-02-02,1.3,-3.7,6.6,,.9,67.4,1014.5
239,技辆,2020-02-03,.8,-2.7,5.2,,1.9,52.6,1015.8
239,技辆,2020-02-04,-.4,-6.7,5.8,,1.2,59.4,1015.5
239,技辆,2020-02-05,-5.7,-8.2,-.7,,2.9,44.1,1019.9
239,技辆,2020-02-06,-5.6,-10.9,-.6,,1.2,43.8,1022
239,技辆,2020-02-07,-1.9,-7.7,3.4,,1,54.1,1018.2
239,技辆,2020-02-08,.9,-2.3,5.1,,2.1,50.4,1016
239,技辆,2020-02-09,-.4,-7.3,5.7,,1.1,57,1014.4
239,技辆,2020-02-10,4.3,-1.7,11.8,,1.4,49.6,1013
239,技辆,2020-02-11,6.4,-2.5,14.7,,.7,42.9,1015.9
239,技辆,2020-02-12,6.5,3.7,8.8,,.8,89.1,1005.8
239,技辆,2020-02-13,7.4,4.2,9.8,,.9,88.1,1008.3
239,技辆,2020-02-14,6.4,2.7,12.5,,.7,81.4,1009.9
239,技辆,2020-02-15,9.3,2.6,15.4,,1,74.4,1006.7
239,技辆,2020-02-16,-.1,-2.8,7,,2.3,81.1,1003.3
239,技辆,2020-02-17,-3.9,-6.2,-1.1,,2.3,72.1,1007.2
239,技辆,2020-02-18,-2.4,-7.7,4.1,,1.3,62.1,1016.2
239,技辆,2020-02-19,1.2,-4.5,7.8,,.8,66,1018.8
239,技辆,2020-02-20,4.9,-1.5,11.7,,.7,65.9,1022
239,技辆,2020-02-21,6.6,.1,13.8,,1,70.5,1018.5
239,技辆,2020-02-22,5.6,1.2,9.7,,2.6,57,1014.8
239,技辆,2020-02-23,3.1,-2,9.3,,1.3,47.8,1018.1
239,技辆,2020-02-24,6.5,-2.6,15.3,,.9,51.9,1013.2
239,技辆,2020-02-25,6.3,5.1,8.3,,1.8,92.4,1005.8
239,技辆,2020-02-26,7.1,3.1,13.8,,1.7,69.3,1011.7
239,技辆,2020-02-27,5.6,.3,11.1,,.9,64.6,1016.4
239,技辆,2020-02-28,4.6,2.9,6.1,,1,83.4,1011.6
239,技辆,2020-02-29,7.3,4.2,13.1,,1,74.5,1006.8
239,技辆,2020-03-01,5.6,2,10.5,,1.2,79.4,1007.8
239,技辆,2020-03-02,4.5,1.5,9.6,,2.3,52.5,1012.5
239,技辆,2020-03-03,6.2,-.6,13.8,,1.4,60.4,1012.7
239,技辆,2020-03-04,2.9,-.6,7.9,,2.6,55.6,1011.6
239,技辆,2020-03-05,2.1,-1.8,9,,1.6,47.6,1014.1
239,技辆,2020-03-06,3.5,-4.4,11.3,,.9,46.6,1011.2
239,技辆,2020-03-07,5.5,1.6,10.1,,.7,56.8,1007.2
239,技辆,2020-03-08,8,-.7,17.3,,.8,57.9,1007.7
239,技辆,2020-03-09,9.4,2.5,16,,.8,58.9,1002.8
239,技辆,2020-03-10,6.2,3.2,8.8,,1.7,80.9,997.3
239,技辆,2020-03-11,4.7,.8,9.1,,2.2,41.5,1007.7
239,技辆,2020-03-12,6.3,-2,15,,1.3,41.3,1011
239,技辆,2020-03-13,5.6,1.1,11.3,,2.2,42.4,1010.4
239,技辆,2020-03-14,4.7,-2.5,10.9,,1.9,43.6,1005.1
239,技辆,2020-03-15,4.8,1.1,11.9,,2.6,48,1001.5
239,技辆,2020-03-16,4.2,-1.8,10.6,,1.7,44.3,1010.9
239,技辆,2020-03-17,6.5,.7,12.1,,1.4,70.6,1005.5
239,技辆,2020-03-18,10.5,2.3,18,,1.3,52.4,1002.9
239,技辆,2020-03-19,10.2,5.8,14.2,,3.4,45.5,997.4
239,技辆,2020-03-20,9.1,2.9,16.3,,1.6,39,1003.6
239,技辆,2020-03-21,13.2,4.5,21.9,,1.7,52.4,1000.9
239,技辆,2020-03-22,12.2,7.2,19,,2.4,44.5,1003.3
239,技辆,2020-03-23,10.2,2.2,18.4,,1.7,43.8,1006.8
239,技辆,2020-03-24,10.3,.3,18.7,,1.3,54.5,1009.4
239,技辆,2020-03-25,12.7,4,21.2,,1.2,45,1009.1
239,技辆,2020-03-26,13.3,8.1,18.9,,1.3,69.1,1004.5
239,技辆,2020-03-27,10.9,4.9,14.1,,1.4,74.6,1003
239,技辆,2020-03-28,7.3,4.2,11.7,,2.4,27.8,1010
239,技辆,2020-03-29,8.2,-.3,16.1,,1.1,45.9,1010.3
239,技辆,2020-03-30,10.9,4.1,18,,1.2,44.5,1009.2
239,技辆,2020-03-31,11.5,3.1,20.3,,1.4,37.6,1006.2
239,技辆,2020-04-01,10.6,4.9,19,,1.8,38.5,1004
239,技辆,2020-04-02,9.3,2,17.4,,1.5,44.9,1011.2
239,技辆,2020-04-03,9.7,1.9,18.2,,1.6,43,1010.4
239,技辆,2020-04-04,8.5,4.6,15.4,,2.5,43.4,1008.6
239,技辆,2020-04-05,7.7,1.5,15.4,,1.7,29.8,1011.3
239,技辆,2020-04-06,9,-.8,18.1,,1.3,42.4,1009.8
239,技辆,2020-04-07,10.8,3.3,19.5,,1.4,52.5,1005.4
239,技辆,2020-04-08,9.1,2.4,14.5,,2.7,35.8,1007.8
239,技辆,2020-04-09,8.9,1.6,15.7,,1.6,43.9,1011.3
