瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),1矫埃 弥促碍荐樊(mm),乞闭 浅加(m/s),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),老 弥缴利汲(cm)
239,技辆,2022-07-03,27.6,22.3,34.3,50.3,1.2,26.7,998.5,
239,技辆,2022-07-04,27.1,22.7,33.4,,0.8,28.4,995.3,
239,技辆,2022-07-05,27.6,23.8,33.7,,0.8,29.6,995.1,
239,技辆,2022-07-06,29.2,24.8,34.6,2,1.1,29.5,997,
239,技辆,2022-07-07,28.3,25.7,33,7.9,1.7,28.6,995.9,
239,技辆,2022-07-08,26.9,23.3,31.2,0.2,1.1,27,992.8,
239,技辆,2022-07-09,25.7,21.9,29.8,,0.7,26.5,992.9,
239,技辆,2022-07-10,27.5,22.9,33.9,2.1,0.8,28.1,994.7,
239,技辆,2022-07-11,24.5,22.9,27.6,1.7,0.8,27.3,996,
239,技辆,2022-07-12,26.6,23.4,29.9,,0.9,28.7,997.3,
239,技辆,2022-07-13,24.9,23.9,26.5,8.6,1.7,27.3,993,
239,技辆,2022-07-14,26,23.1,30,0.2,1.4,27.4,990.3,
239,技辆,2022-07-15,25.4,21.3,30.4,,1.1,23.9,990,
239,技辆,2022-07-16,25.5,21.1,30.5,,1.3,23.1,988.8,
239,技辆,2022-07-17,25.4,20.6,30.1,,1.1,24.3,990.8,
239,技辆,2022-07-18,22.3,21.1,24.7,27.5,1.5,25.3,989.4,
239,技辆,2022-07-19,24.5,20.3,30.7,,0.9,25.5,992.9,
239,技辆,2022-07-20,26.9,22.4,32.2,,1,25.4,996,
239,技辆,2022-07-21,23.6,22.5,25.6,7.1,1.4,25.6,991.6,
239,技辆,2022-07-22,24.9,21.6,29.8,,1.3,23.6,995.8,
239,技辆,2022-07-23,24.2,21.1,28.1,17.4,1,24.6,994.7,
239,技辆,2022-07-24,24.1,22.3,26.1,2.4,0.7,28.2,992.4,
239,技辆,2022-07-25,26.7,23.4,31.6,,1.1,26.8,998.5,
239,技辆,2022-07-26,27.7,22.2,33.4,,0.8,27.2,999.2,
239,技辆,2022-07-27,27.5,24.7,30.9,,2,25.1,999.5,
239,技辆,2022-07-28,27,23.4,33,4.4,1.7,27.7,1000.7,
239,技辆,2022-07-29,29.7,24.3,34.5,,1.5,28.5,1001.6,
239,技辆,2022-07-30,28.9,25.4,32.5,,2.3,27.5,999.2,
239,技辆,2022-07-31,26,24.9,28,5.3,1.5,30,995.8,
239,技辆,2022-08-01,27.4,24.8,32.4,1.1,1.7,30.8,995.4,
239,技辆,2022-08-02,27.4,25.5,31,0,1.5,30,999.1,
239,技辆,2022-08-03,28.6,25.6,32.8,0.4,1.5,30.4,1000.4,
239,技辆,2022-08-04,28.3,24.7,33.2,,1,30.6,999.6,
239,技辆,2022-08-05,28.4,25.5,32.6,1.2,0.8,31.4,996.5,
239,技辆,2022-08-06,28.8,25.5,33.4,,0.9,31,996.3,
239,技辆,2022-08-07,29,26,32.8,,1.1,31.3,996.7,
239,技辆,2022-08-08,27.9,26.1,29.5,7.3,2,29.8,997.3,
239,技辆,2022-08-09,27.4,25.4,29.8,2.1,2.2,29.4,996.8,
239,技辆,2022-08-10,24.7,23,27.5,32.9,1.3,29.6,996.1,
239,技辆,2022-08-11,24.9,24.3,26.2,18.9,1.8,29.7,994.5,
239,技辆,2022-08-12,26.8,23.4,32,0,1,26.6,996.1,
239,技辆,2022-08-13,25.3,23.4,27.8,5.6,0.7,28.5,995.9,
239,技辆,2022-08-14,26.7,24.4,31,6,1,30.9,995.9,
239,技辆,2022-08-15,28.2,24.6,31.1,27.9,2.5,29.3,992.3,
239,技辆,2022-08-16,25.8,23.7,29.7,0.7,1.1,28.5,993.9,
239,技辆,2022-08-17,24.8,21.6,30.7,7.4,0.9,26.9,996,
239,技辆,2022-08-18,24.4,19.1,30.4,,0.8,23.4,997.6,
239,技辆,2022-08-19,26,20.7,29.7,,1.3,27.7,993.3,
239,技辆,2022-08-20,27.2,24.5,31.5,37.4,1.2,30.1,992.1,
239,技辆,2022-08-21,27,23.4,32.1,,1.2,26.5,994.8,
239,技辆,2022-08-22,26.8,23,32,,0.8,26.8,994.5,
239,技辆,2022-08-23,24.1,22.8,25.4,22.7,0.7,27.7,995.8,
239,技辆,2022-08-24,23,21,25.9,0.3,2,21.5,997.7,
239,技辆,2022-08-25,21.8,17.9,28.3,0,1.1,20.5,997.6,
239,技辆,2022-08-26,22.1,15.9,27.9,,1,19.7,997.5,
239,技辆,2022-08-27,20.9,16.4,25.3,,1.8,15.1,1000.2,
239,技辆,2022-08-28,21.2,14.7,27.8,,1.2,16.2,1004.2,
239,技辆,2022-08-29,19.5,16.8,21.5,1.8,1.4,17.6,1005.4,
239,技辆,2022-08-30,19,16.8,20.3,9.9,1,20.7,1000.3,
239,技辆,2022-08-31,20.9,19.3,23.6,2.2,0.8,22.2,998.2,
239,技辆,2022-09-01,22.3,19.1,28.2,,0.9,21.1,1003.2,
239,技辆,2022-09-02,22.8,17.8,27.7,,1.9,19.1,1005.3,
239,技辆,2022-09-03,23.3,20.7,26.8,,3,19.9,1003.7,
239,技辆,2022-09-04,24.1,20.8,27.4,1,1.7,24.2,999.3,
239,技辆,2022-09-05,22.3,18.3,25.2,9.6,1.1,25.9,994.1,
239,技辆,2022-09-06,20.1,17.1,25.5,23.6,2.6,18.5,994.9,
239,技辆,2022-09-07,20.6,16.2,27.7,,1,16.6,1007,
239,技辆,2022-09-08,21.1,14.3,29.2,,0.7,16.6,1007.6,
239,技辆,2022-09-09,22.9,17.3,28.7,,1.2,17.1,1007,
239,技辆,2022-09-10,22.1,18.8,26.7,,2.1,16.7,1007,
239,技辆,2022-09-11,23.3,19.4,28.3,,1.2,19.2,1004.3,
239,技辆,2022-09-12,23,20.7,26.6,0.9,0.9,23.7,1003.8,
239,技辆,2022-09-13,24.1,21.3,27.1,,1.4,22.4,1005,
239,技辆,2022-09-14,24.7,21.6,28.4,,3,15.3,1005,
239,技辆,2022-09-15,25.2,21.8,29.3,,2.9,20.3,1000.8,
239,技辆,2022-09-16,25.2,21.5,29.2,0.1,2.2,23.4,997.9,
239,技辆,2022-09-17,26.8,23,32.7,,1.2,26,997.6,
239,技辆,2022-09-18,27.5,23.4,32.6,,1.8,25.7,992.4,
239,技辆,2022-09-19,24.4,18.8,30.3,,3.2,18.9,990.3,
239,技辆,2022-09-20,19.1,15.1,24.6,,1.5,13.3,1002.8,
239,技辆,2022-09-21,18.5,13.2,24.1,,1.5,12.8,1006.7,
239,技辆,2022-09-22,18,12.7,23.8,,1.1,12.3,1005,
239,技辆,2022-09-23,17,12.9,23.7,0.5,1.4,13.3,1003.3,
239,技辆,2022-09-24,17.1,10.6,23.9,,1.4,11.6,1006.8,
239,技辆,2022-09-25,17.9,14,24.8,,0.8,13.3,1006.1,
239,技辆,2022-09-26,18.7,14.5,25.6,,0.8,13.5,1006.4,
239,技辆,2022-09-27,19,12.1,27.5,,0.8,13.5,1005.2,
239,技辆,2022-09-28,18.9,14.1,25.3,,0.6,16.4,1003.6,
239,技辆,2022-09-29,,15.1,,,0.5,,,
239,技辆,2022-09-30,,12.9,27.8,,0.5,,,
239,技辆,2022-10-01,19.1,12.4,27.5,,0.6,14.8,1007.4,
239,技辆,2022-10-02,20.6,16.6,28.1,1.6,1,17.1,1006,
239,技辆,2022-10-03,23.1,18.2,25.8,8.8,1.7,23.7,1002.9,
239,技辆,2022-10-04,19.6,14.9,24.5,24.7,1.9,18.5,1002.5,
239,技辆,2022-10-05,15.6,13,21.1,,1,12.4,1009.2,
239,技辆,2022-10-06,15.7,13.1,20.9,1,0.9,14,1008.4,
239,技辆,2022-10-07,14.8,11.5,18.8,,1.8,11.1,1009.2,
239,技辆,2022-10-08,15.7,9.7,20.6,,1.7,10.7,1013,
239,技辆,2022-10-09,12.8,10.7,15,4.7,1,12.4,1007.7,
239,技辆,2022-10-10,10.2,7.7,13.4,2.8,1.9,9.1,1004.8,
239,技辆,2022-10-11,11.4,7.8,17.3,,1.6,9.2,1011.2,
239,技辆,2022-10-12,11.8,4.9,20.1,,0.7,10.6,1015.8,
239,技辆,2022-10-13,15,9.2,22.1,,0.8,12.4,1014,
239,技辆,2022-10-14,15.4,10.6,22.4,,0.8,13,1009.5,
239,技辆,2022-10-15,18,12.8,24.5,,0.6,14.5,1008.3,
239,技辆,2022-10-16,17.3,14.4,22.1,,0.9,15.6,1007.7,
239,技辆,2022-10-17,12.3,7.5,15.3,,2.5,7.1,1009.2,
239,技辆,2022-10-18,7.8,2.2,14.2,,1.7,6,1012.4,
239,技辆,2022-10-19,8.7,1.4,16.6,,1.1,6.5,1015.6,
239,技辆,2022-10-20,10.3,3.1,19.2,,0.7,8.2,1017.1,
239,技辆,2022-10-21,11.8,6,18.9,,0.6,9.6,1014.1,
239,技辆,2022-10-22,13.9,8.1,21.5,,0.9,11.2,1010.6,
239,技辆,2022-10-23,13.4,9.8,19.4,,1.6,9.5,1008.4,
239,技辆,2022-10-24,9.3,4.9,15.1,,1.7,6.3,1010.9,
239,技辆,2022-10-25,9.5,3.2,16.3,,0.7,7.2,1017.1,
239,技辆,2022-10-26,11,4.6,18.2,,0.6,7.9,1016.9,
239,技辆,2022-10-27,12.6,6.2,20.3,,1,9.1,1015,
239,技辆,2022-10-28,13.5,8.9,19.9,,0.7,10.7,1015.2,
239,技辆,2022-10-29,13.6,8.3,20.7,,0.5,10.4,1015.4,
239,技辆,2022-10-30,13.8,8.3,20.7,,0.7,10.2,1014.6,
239,技辆,2022-10-31,13.9,9.6,20,,0.8,9.7,1013.4,
239,技辆,2022-11-01,12.8,8.4,19.2,,1,10.8,1011.5,
239,技辆,2022-11-02,10,4.6,19,,0.8,7.6,1010.3,
239,技辆,2022-11-03,9.3,3.7,16.4,,1.1,6.8,1009.1,
239,技辆,2022-11-04,5.7,1.3,10.5,,1.8,4.2,1012.7,
239,技辆,2022-11-05,5.9,-1.8,14.5,,0.8,4.9,1014.7,
239,技辆,2022-11-06,8.1,1.2,16.6,,0.5,6.8,1014,
239,技辆,2022-11-07,9.3,2.4,16.9,,0.5,6.9,1012.7,
239,技辆,2022-11-08,11.9,6.3,18.9,,0.7,8.8,1014.2,
239,技辆,2022-11-09,9.6,5.4,16.3,,0.6,9.3,1014.9,
239,技辆,2022-11-10,11.3,5.1,18.7,,0.5,9.1,1014.2,
239,技辆,2022-11-11,13.9,7.7,22,,0.5,9.6,1014.4,
239,技辆,2022-11-12,17.6,9.8,24.3,,1.3,13.5,1005.7,
239,技辆,2022-11-13,11,9.3,18.9,,1.4,10.3,1005.2,
239,技辆,2022-11-14,9.2,5.1,15.1,,1.1,8.3,1007.7,
239,技辆,2022-11-15,7.8,1.7,14.2,,1,7.3,1007,
239,技辆,2022-11-16,8.5,4.4,15.3,,1.1,7.3,1009.9,
239,技辆,2022-11-17,9.1,4,15.9,,0.6,6.8,1013.3,
239,技辆,2022-11-18,9.1,2.5,17.7,,0.6,6.4,1015.3,
239,技辆,2022-11-19,11.3,4.3,19,,0.6,7.7,1011.7,
239,技辆,2022-11-20,12.6,9.2,18.9,,0.5,9.1,1009.2,
239,技辆,2022-11-21,11.7,5.7,19.7,,0.7,8.5,1010.8,
239,技辆,2022-11-22,10.5,8.1,13.5,,0.5,10.2,1009.8,
239,技辆,2022-11-23,10.5,5.5,16.6,,1.2,7.5,1007.1,
239,技辆,2022-11-24,8.1,2.6,14.7,,0.5,6.8,1010.6,
239,技辆,2022-11-25,9.4,2.3,17.3,,0.7,6.9,1007.8,
239,技辆,2022-11-26,8.5,1.6,14.1,,1.9,5.9,1007.7,
239,技辆,2022-11-27,5.8,-1.2,13.8,,0.6,4.6,1009.9,
239,技辆,2022-11-28,8,3,11.7,,0.6,8.9,1004.5,
239,技辆,2022-11-29,8.4,0.9,13.4,,2.8,7.2,1006.4,
239,技辆,2022-11-30,-3.2,-5.2,0.9,,3.1,2.4,1020.5,
239,技辆,2022-12-01,-3.6,-7.3,1,,1.8,1.9,1020.7,
239,技辆,2022-12-02,-1.9,-6.5,2.8,,0.8,2.9,1019,
239,技辆,2022-12-03,2.1,-1.9,5.6,,0.7,5,1014.8,
239,技辆,2022-12-04,-1.6,-3.7,3.6,,2.5,2.1,1020.1,
239,技辆,2022-12-05,-2.6,-5.4,3,,1.6,1.7,1018.4,
239,技辆,2022-12-06,-0.1,-6.3,5.8,,0.7,4.3,1013,
239,技辆,2022-12-07,4.1,-0.4,9.2,,1.1,5.1,1013.1,
239,技辆,2022-12-08,3.2,-1.7,9.9,,0.5,4.6,1015.1,
239,技辆,2022-12-09,3.7,-1.7,11.5,,0.6,5.4,1011.9,
239,技辆,2022-12-10,1.5,-2.7,5.2,,0.5,5,1009.7,
239,技辆,2022-12-11,1.6,-3.2,8.4,,0.9,3.5,1012.3,
239,技辆,2022-12-12,1.3,-4,6.7,,0.8,4.6,1009.7,
239,技辆,2022-12-13,1.1,-2.9,3.8,,1.9,5.4,1008.2,
239,技辆,2022-12-14,-7.4,-9.8,-2.9,,2,2.3,1017,
239,技辆,2022-12-15,-2.5,-9.5,3.5,,1.1,4.1,1014,
239,技辆,2022-12-16,-5.1,-8.1,-2.2,,1.1,2.6,1019.1,
239,技辆,2022-12-17,-6.4,-9.6,-3,,1.4,2.5,1014,
239,技辆,2022-12-18,-8.9,-13.8,-5,,1,1.8,1012.5,
239,技辆,2022-12-19,-6.4,-13,-0.8,,0.7,2.3,1015.8,
239,技辆,2022-12-20,-3,-9.1,2.9,,0.6,3.1,1015.5,
239,技辆,2022-12-21,-0.1,-2.5,1.4,,0.7,5.3,1001.4,
239,技辆,2022-12-22,-5.1,-8.3,0.2,,2.5,2.9,999.5,
239,技辆,2022-12-23,-8.2,-10.7,-5.2,,3,2.1,1002.6,
239,技辆,2022-12-24,-9.2,-13.6,-4.2,,0.9,1.7,1009.8,
239,技辆,2022-12-25,-5.4,-12.1,2.4,,0.7,2.7,1012.8,
239,技辆,2022-12-26,-4.1,-9.7,1.4,,0.4,3.1,1015.3,
239,技辆,2022-12-27,-2.9,-8.9,3.2,,0.4,3.4,1018.2,
239,技辆,2022-12-28,-2.4,-5.5,2.8,,1.2,3.3,1019.3,
239,技辆,2022-12-29,-3.5,-8.5,1.5,,0.6,2.9,1021.7,
239,技辆,2022-12-30,-1,-3.9,3,,1,3.7,1020.9,
239,技辆,2022-12-31,-1.4,-4.8,4.5,,0.6,3.7,1020,
